"---Amasty_Shopby---", ""
"Show (%1) more", "Pokaż (%1) więcej"
"Show more", "Pokaż więcej"
"Less", "Mniej"
"On Sale", "Na wyprzedaży"
"&amp; up", "i więcej"

"---Amasty_ShopbyBrand---", ""
"All Brands", "Wszystkie marki"

"---Amasty_SeoToolkitLite---", ""
"Page %1 - ", "Strona %1 - "

"---Amasty_AdvancedReview---", ""
"Delete","Usuń"
"Are you sure you want to delete this?","Czy na pewno chcesz to usunąć?"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save","Zapisz"
"Please update Amasty Base module. Re-upload it and replace all the files.","Proszę zaktualizować moduł Amasty Base. Prześlij go ponownie i zamień wszystkie pliki."
"Enable reviewpagebuilder module to activate PageBuilder and Advanced Reviews integration. Please, run the following command in the SSH: composer require amasty/advanced-reviews-page-builder","Włącz moduł reviewpagebuilder, aby aktywować integrację PageBuilder i Advanced Reviews. Proszę, uruchom następującą komendę w SSH: composer require amasty / advanced-reviews-page-builder"
"Enable advanced-review-graphql module to activate GraphQl and Advanced Review. Please, run the following command in the SSH: composer require amasty/advanced-review-graphql","Włącz moduł Advanced-review-graphql, aby aktywować GraphQl i Advanced Review. Proszę uruchomić następującą komendę w SSH: composer require amasty / advanced-review-graphql"
"%1 year(s) ago","%1 lat/a temu"
"%1 month(s) ago","%1 miesiące/cy temu"
"%1 day(s) ago","%1 dni temu"
"%1 hour(s) ago","%1 godzin/y temu"
"%1 minute(s) ago","%1 minut/y temu"
"%1 second(s) ago","%1 sekund/y temu"
"recently","niedawno"
"We can't change item right now. Please review the log and try again.","Nie możemy teraz zmienić elementu. Przejrzyj dziennik i spróbuj ponownie."
"A total of %1 record(s) have been changed.","Łącznie zmieniono %1 rekordy(ów)."
"No records have been changed.","Żadne rekordy nie zostały zmienione."
"Something went wrong","Coś poszło nie tak"
"You deleted the comment.","Usunąłeś komentarz."
"We can't find a comment to delete.","Nie możemy znaleźć komentarza do usunięcia."
"Edit Comment #%1 by %2","Edycja komentarza #%1 z %2"
"This comment no longer exists.","Ten komentarz już nie istnieje."
"Comments","Komentarze"
"We can't delete item right now. Please review the log and try again.","Nie możemy teraz usunąć elementu. Przejrzyj dziennik i spróbuj ponownie."
"A total of %1 record(s) have been deleted.","Łącznie usunięto %1 rekordy(ów)."
"No records have been deleted.","Żadne rekordy nie zostały usunięte.."
"Comment has been saved.","Komentarz został zapisany."
"The wrong item is specified.","Określono niewłaściwą pozycję."
"Review Reminder","Przypomnienie o recenzji"
"Reminder","Przypomnienie"
"A total of %1 email(s) have been sent.","W sumie wysłano %1 e-maili."
"No records have been sent.","Żadne rekordy nie zostały wysłane."
"Please fill test email in module configuration","Proszę wypełnić testowy email w konfiguracji modułu"
"A total of %1 email(s) have been sent to %2.","Łącznie %1 e-maili zostało wysłanych do %2."
"Please select review(s).","Wybierz recenzje."
"A total of %1 record(s) have been approved for All store views.","Łącznie zatwierdzono %1 rekordy(ów) dla wszystkich wyświetleń w sklepie."
"Something went wrong while updating these review(s).","Coś poszło nie tak podczas aktualizowania tych recenzji."
"Sorry. There is a problem with your Comment Request.","Wystąpił problem z Twoją prośbą o komentarz."
"You submitted your review for moderation.","Przesłałeś swoją recenzję do moderacji."
"Forbidden","Zakazane"
"Form key is not valid. Please try to reload the page.","Klucz formularza jest nieprawidłowy. Spróbuj ponownie załadować stronę."
"Your session was expired. Please refresh this page and try again.","Twoja sesja wygasła. Odśwież tę stronę i spróbuj ponownie."
"%1 is a required field.","%1 jest wymaganym polem."
"Sorry. There is a problem with your Vote Request.","Wystąpił problem z Twoją prośbą o głosowanie."
"Success.","Sukces."
"You have been unsubscribed from comment messages.","Zostałeś wypisany z komentarzy."
"Something went wrong while unsubscribing you.","Podczas anulowania subskrypcji coś poszło nie tak."
"You unsubscribed.","Wypisałeś się."
"Verified Buyer","Zweryfikowany kupujący"
"I recommend this product","Polecam ten produkt"
